text,label
"Costco: Daniel, the code 42003 printed on your receipt from 10 came in 2nd in our Airpods draw: f2gpy.info/RzNKEws Zve",smish
"Hi, you still owe UPS $4.10 USD in customs fees for your previous package. Reply 1 to receive a secure link to pay your invoice.",smish
"wel01.us/r/rest05 WELLS FARGO(CS):Profile locked because of unusual activities, kindly restore.Reply STOP to unsubscribe",smish
"Hi, are you who played golf together last time? I'm Lisa",smish
"(8 Hi Julianne long time no see, I'm Aleen, how are you doing",smish
"hi Jessie, it's been a long time since I came out, what are you doing recently?",smish
"Dear. You are invited to join the (Bitcoin) internal discussion group. The team will publish daily how to make a profit in the Bitcoin market. Reply to the number ""1"" and click the link to join. https://chat.whatsapp.com/ Djci PB8b7gTGGt16QJ5mJm",smish
"CITI: Unauthorized activity was detected, we have moved foward in locking your account. Please verify at http://citibsec.com or at a local branch.",smish
"Evanie, I'm Anna, how have you been, I'm back in Denver.",smish
"Hello! I'm Amy. Are you Annie? I'm really sorry. I dialed the wrong number. And I thought you were my friend. It was so embarrassing. Have a nice day. Thank you. You're a really nice guy, and today was really awkward, but IT's nice to meet you as a new friend.",smish
"BofA:Your account has been restricted, visit secbofa.page.link/NLt",smish
https://rebrand.ly/grppwwr AVOI6Y,smish
"Amazing news!, your application has been accepted. Finish the process: http://klkln.cc/vnbcbtd",smish
https://b.link/h21bc br7ca2,smish
"Hey Niaz, help us answer a fast survey. We will give you a free watch in return. lksr.link/9pvvbF Txt Stop to end",smish
Hi! I am Lisa's friend. Are you the Smith that Lisa recommended to me? I am Erin.,smish
1 of 2 FRM:japho-Fe d3x.Ne.ws - MSG: Unsuccessful package from 1 April owed to you. Kindly assume ownership and confirm for delivery. (Con't) 2 of 2 https://wwj4w-fedex.us/jWXHwj?47965169(End) O?,smish
<Subject: c4c26> Z??? Bank Of America Hurry up ! Offers Have arrived! ($$90 value). /.//storag e.googleapis.com/jzoxubc/1fhg3lf BANK OF AMERICA,smish
You received money. Reply <<ok>> for details.,smish
"<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: mentioningdears.com/nzWjdtrM93",smish
"<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: sirreeprematurely.com/X9cSSE4SfA",smish
Your 2021 Auto-Policy may have Been Over-charged by 1275. Check for Possible CashBackfor 2022. xyzthriftyquotes.com/60ef6eec47,smish
"FRM:719132-Fed_EX.906697 MSG:flm-;it will be returned to sender, We have made several attempts to reach you, https://jf245-fedex.me/y.jDxio?37588372",smish
"Dale We are interested in buying your home for cash, as-is, at or above any valid offer. Valid: 4/8 wepay-topvalue.com/bf2f414d45",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: vocalsprolonged.com/ZSgingd6vi",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: reamvino.com/SvjMeq1eKD",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: slappingtasting.com/Hamw6PokCc",smish
"WELLS FARGO: Update>: A decision has been made, your account is suspended. Visit http://VERIFYWELLSFARGO.GA to regain access now! This action takes few seconds. O° A",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: flimsyfooting.com/RugSJP91a6",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: clowningbacking.com/ZOKNSJFtJT",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: catererhunger.com/Okk7d5ha2y",smish
FRM:ChaseBanking-Alert-3887 SUBJ:CALL: 812.809.4904 Now! MSG:MSG 17001 Account.Locked!,smish
"<Subject: NoSubject> Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: fritzclosets.com/PV06ExwSdV",smish
You'll get @ your package TODAY! http://www.webpage.ren/b/lc/? bfX.08&08z-mkq O A Text Message,smish
"Pending Delivery: Hi, your package containing tracking code 71623881LS5 is waiting for you to confirm the shipment address: holdingspothere.com/8930er",smish
"The ClassSuit TRIAL has ended and YOUR $19,038 settlement allocation is READY; CONGRATS to the People! settclss.com/Ccn26dr stop to end",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: warrantgeneration.com/RsCoLlrDrs",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: unselfishdumplings.com/LKXH4N4WZ3",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: purposeliberals.com/yF70SNqOKV",smish
citii bank: Please visit here and complete your debit pin again: https://bit.ly/35Xs2rW,smish
http://gs80xb1u7wy5vb.deals,smish
"U are selected for the Work from Home job offer receive your daily salary 2,666Tk, Contact WhatsApp http://www.cxes.click/2JkZZoeX",smish
"Citi: We blocked your account due to unusual activity, please visit (www.citibankaccount.info) to verify your account.",smish
It's Nicole again Office: 18665841391 It appears you may be eligible for compensation on your Injury. Can you give me a quick call please? - STOP to STOP,smish
[CITI Alert 05.02.2022] Debit card associated with Acct*8139 is locked. Vist bit.ly/89BNsg81289 at earliest convenience. Stop=end|Help=help,smish
"Help us fight CORONAVIRUS by working from home - No experience required SMS sending JOB Work 2-3 hours daily on mobile and earn $5-$100 daily Click Here And Apply Now http://bit.ly/WHO-Jobs-Offer Vacancy till 31st march,2020",smish
Dear. You will be invited to the (BTC) internal discussion group. The group will post daily how to earn $500-15000USD in the crypto market. Reply: 1 and Click the link to enter: https://chat.whatsapp.com/E29ZpfVxDLCDU0lz6g5Pju,smish
https://saveonautocoverage3.me/1nhQEbD4FaH6 We may owe you as much as 779.04. A new finding may have caused us to charge you too much last year. Your savings is ready -,smish
"This is the Novel Coronavirus insurance service based on the current outbreak. The premium for COVID-19 insurance is $1,000. If you are diagnosed with COVID-19, you can get a lump sum of $30,000. In the case of home isolation or hospital isolation, you can get $300 per day for up to 21 days to consult Whatsapp:4423798151",smish
"Cloud mining platform: https://usdt777.vip Copy the website browser and open the registration to get $100 for free, which will be credited to the account in seconds. Participating in cloud mining can earn around $300-800 per day. Permanent income is guaranteed and risk free! Invite your friends to join and get great rewards",smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: consensuscelebrated.com/5hTSjydwTh",smish
CITI Alerts - We have blocked access to your debit card due to unusual activity. Verify your details at citi-actvity.org,smish
(DiscoverCard_Customer Servi ce#2627457643) You have a pending issue. please visit: http://r2s9hq82ne.mmnrxeqmcv.nikxc.org to resolve it.,smish
sexyjessie.us..*,smish
"Hi Andrew, this is Cess and this is my new number, Im here in the philippines now so text me back when you receive my message because im not quiet sure if i get your number right.  im sorry i got the wrong number i hope i didnt bother you 8:52 AM",smish
"Hi Jim, I need a lot of precious metal raw materials for the project at hand recently, can you give me a price list?",smish
"Dear. You are invited to join the ""Bitcoin"" analysis group and join in the investment plan and earn 500-5K usd a day. Reply ""1"" and long press the link to join. https://chat.whatsapp.com/DzeAqjxgNbi6S4cuCFchXN",smish
"Hi, Lucy. I'm Aisha. Do you remember me? Last time we met at an auction in Northern California.",smish
Dale We are still in the market to buy your 2022 Buena Village Dr HOME. Our new OFFER value has increased! We can CLOSE in less than a week and you won't have any REALTOR fees. Please review 5dexqo.com/82a103,smish
[U.S. Postal Service] We're sorry to let you know that your package could not be delivered. To reschedule a delivery please visit https://bit.ly/3NR5x9f Preview not available,smish
"Dear. You are invited to join the """"Bitc0in"""" analysis group and join in the investment plan and earn 500-5K usd a day. ðððPlease click the """"Link"""" below to joinððð\nhttps://chat.whatsapp.com/F6Wo68CcSRq88C9LSdsGcN",smish
"Is this Vince's number, please?",smish
From: NETFLIX Msg: NETFLIX monthly payment Unsuccesful and Your account is temporary Locked. See The Complete Details In The Attachment Below. Subscription-failed56756... Additional media content is included. Please check the message in detail,smish
Are you Mr. Freddy? I'm Alice and I'm not sure if the number is correct,smish
click the link to Upgrade Your Wells Fargo Account web:https://express.adobe.com/page/IkvuZSZq2z1lj/,smish
REGIONSBANK - Our team locked your debit on July 15th. Please visit: Regions-PROTECT.com to unlock it. Reply STOP to OPT OUT,smish
"Dear 02055666420friend, Bitcoin Trading Study Group : https://rebrand.ly/v7qj08h",smish
(1) U have usdt (2) How can u invest and register (3) How can u participate Send me a message by https://wa.me/+639162024192,smish
Dale SAFEDRIVERALERT: It looks like you were over charged on yourAutOPOlicy. It's not too late to-apply SAFEDRIVERDISCOUNTPERKS and getREIMBURSED. kzrp1h.com/bff4948af7,smish
"Unusual Activity : We've suspend your Amazon account due to unusual activity. Login attempt blocked from : Mozilla Firefox 8.7 [168.254.81.174 - Turkey] Our system has suspend your Amazon account for security reasons. To unlock your Amazon account, please verify with link below: http://www.xprswebsite.com/free/userf111/redirf111/?=5826865 You need to take action within 2 days before account will be suspended. Regards, Amazon Teams",smish
"[Postal Service] - Due to address is incorrect. The package cannot be delivered, please follow the link to update the correct address. https://upspups.com",smish
ALERT: Your Bank of America Prepaid EDD Debit Card has been blocked due to unusual activity. To reactivate your Bank of America Prepaid EDD Debit Card kindly visit us at http//:boaeddprepaidservices.com,smish
Wells Fargo ALRT: Account locked due to unusual activity. You will still be able to deposit funds into your Wells Fargo account(s). Visit link to remove hold: https://wfveri-info.com,smish
CITIZENSBANK- A charge of $472.20 is on hold. Reply YES to process. Not you? Visit citizens-security01.com before August 11 Reply Opt-out to pause Alerts.,smish
CVS offers more than simply fantastic prices. You have a lot of opportunities today to receive up to $100. http://prettyplump.directory/DFzOyZtj,smish
"CHASE BANK ALERT: We detected an unusual attempt at 30 mall Dr unit OBO4 Jersey City, NJ 07310 if this was not you please use the secured link to verify your identity and secure your account: https://secur06-chase-verify.my03.com/?Verify",smish
WF Fraud Alerts: We noticed unusual activities on your account. Please confirm the activities at WellsfargoVerify.com/act to make it secure.,smish
USPService: We could not ship your package for address issue. Your need to confirm your address to ensure the delivery. https://s.id/1fXBI,smish
Home Depot Offer + E$ http://flatterlaud.cricket/0VH9A5,smish
regions: Your debit has been barred from use due to unusual behavior. Go to https://www.assistance-usrprocess.com your details to reactivate,smish
Quick freebies from Home Depot! http://surveysens.yokohama/9vePTP,smish
Dad just left you a package. He said he came from Cost co cause they're handing out money to their customers today. Do you wanna try and see if we can do it too? He said we'd have to start here. http://indianelder.business/hBF734,smish
Cash payouts by HomeDepot http://apartnerve.florist/Qd8qKU,smish
Gift Card Offer by Home Depot http://leaseill.associates/b42TrX,smish
<#>Bofa.EDD: Your EDD account is temporarily on hold. You must confirm your recent activity to continue using your account http://processingprotection.me/JaZcP,smish
CA SERVICE DEPT [EDD]: Your EDD Card Has Been Temporarily Suspended. To Prevent Account Closure Please visit: http://eddphelp.info Reply STOP To Opt-Out.,smish
Instant freebies from HomeDepot! http://rgjgj.capital/i16nf0,smish
1 of 2 FRM:GetaPrizeBrand.com sms_id_YBJ431 MSG: Since youre a appreciated customer of Home Depot we have a gift valued at $100 dedicated to you (Con't 2 of 2 for your time. Just acknowledge this three question survey and you'll be compensated. sms_id_YBJ431| (End),smish
BOFA_EDD_DEBIT_CARD: Your card starting with 4427*** has been temporarily blocked. Unblock card at :  https://unblockbofaeddprepaid.meeha.com.bd/asdfghjkl.html,smish
E.D.D.DEBIT-VISA-CARD:Your card has been disabled. Re-enable it at https://romualdo.exe.it/AKARA.html to keep it intact.,smish
FRM:1B|UPS-ZOF05 SUBJ:www.pyr-upsi.website//isr1i2pF19389# MSG::KUO4alLsdi-a,smish
"Your BOA Unemployment card is having irregular activities. New Login detected. If this wasn't you, follow steps: ee2r.info",smish
If you have ever been to Cost co you qualify for this amazing give-a-way http://pricesever.financial/j07mFgmb,smish
Dr Oz Secret CBD for Dick Gains http://fireelse.community/nm6pkc,smish
Hi poelacnewu33sdf.us,smish
"Your paymen.t for la.st month was pa.id. Thank you, this is a sur.prise p.resent for you: W3NGZ.COM/6blDog8jzc",smish
Important Update: You got 24 Hours left to reserve the iPad Pro which you Won in September: disciplepurse.com/HvMe3JH,smish
"Hi, it's AT&T. Great news! You've paid off at least 50% of your current phone. If you're interested in learning about our offer on the iPhone 13 Pro Max, reply YES to receive details.",smish
Earn Home Depot $100 Gift Card http://abusenat.associates/mKd6NG,smish
<#>Bank of America: Accept the updated terms. https://cp2we.app.link/iur,smish
CVS: Your number was invited with 798 others to redeem a prize. Answer our quick survey before the next 6 hours to reserve yours igyre.cc/Kky7RkR,smish
Wells Fargo Bank: Account is suspended due to recent database breach for safety. Click https://poiasj5.cf/wellsfargo.com/?restore to reactivate.,smish
"Citi Alert: You recently requested a transfer to a new external account (CHK ACC: XXXX7433), if this was NOT you. Cancel immediately at: https://citi-06.com",smish
"EDD Bofa Alerts: For your security hold has been placed on your unemployment insurance card, due to identity theft: visit gps.ru/98hXb to remove the hold",smish
"You have filled in an incorrect delivery address, please update your address to the post office. https://usa-exchange-us.com",smish
Monthly GiveAway by Home Depot http://marginaljo.shopping/v3E6qB,smish
Votre colis a été envoyé. Veuillez le vérifier et le recevoir. http://fotag.xpddg.com,smish
"Your Prepaid EDD account status has been restricted, please update your information to keep your account by visiting http://eddbofaprocess.info",smish
"For Cost co, loyalty is everything. We are prepared to pay $40 per minute for your opinion and are in need of it. http://wealthaccept.financial/94T4CvdP",smish
iPad Pro for CID#24355 https::http://cyntrothm.shop/ipadP.php,smish
Congratulation CID#896904 An Exclusive Reward From AT&T is waiting For You Claim it here http://zireesso.shop/cl/5233_md/555/57333/1230/70/53367,smish
Votre colis a été envoyé. Veuillez le vérifier et le recevoir. http://tbmuy.ncmie.com,smish
"Votre solde CPF est arrivé a échéance. Veuillez remplir le formulaire ci-dessous sous 24h, pour convertir vos droits acquis en 2021 https://bit.ly/3v9zXuH O°",smish
$80 Gift Card - HomeDepot Survey http://esteemcomm.shopping/vtsk9N,smish
Y.our in.voice for la.st mo.nth was p.aid. Thanks.. he.re's our small pres.ent fo.r u: uEZF2.Com/GDI2hthgG1,smish
BOA: Your Online Profile has a probable association with a system vulnerability. Log in and verify your details at https://sec03boa.com/bRZQK to prevent identity theft.,smish
Get $100 Reward from HomeDepot http://summe.shopping/Hhj0J3,smish
FRM:gP8e_-UPS-NFIGe SUBJ:www.92wbj4jzupst.com//49epb8Rw17003# MSG: :IsEqWKMBuM-a4,smish
"1 of 2 FRM:30533 SUBJ:9/17/2022 4:08:58 PM MSG:Wells Fargo SecurityCenter Critical notification! Please follow the link, for more details: (Con't) 2 of 2 https://docs.google.com/forms/d/e/1FAlpQLSeUlz-jIFAYDmtl2s9pEJSgVUHX_S33qw9twmXUqoO7_OCLkw/viewform?usp=sf_link?WuRW ERROR-051178 (End)",smish
CVS has more than just great deals! Today we have great chances for you to get up to 100$. http://catchingbudding.directory/8BWT1REM,smish
You.r paymen.t for Septemb.er is received. Thanks! this is o.ur tiny pre.sent for you: f4RSX.COM/8vxyyUpY4d,smish
BANKOFAMERICA[EDD] - We encountered a failure in processing your WEEKLY BENEFITS. Visit: BankOfAmericaDebit05.com Error -8097 REPLY STOP TO OPT OUT,smish
"Obtain $100. EASY! You just need to provide some information, and you'll soon be rich! http://obliquerupture.directory/rvgFs6Ae",smish
"[US POSTAL] Package cannot be delivered due to mismatching address, please correct on postalportal.site to recieve",smish
took this quiz and got 90 bucks. my bro told me to tell you. http://denywhence.network/DOqxdH9d,smish
BANKOFAMERlCA[EDD]- We encountered a failure in processing your WEEKLY BENEFlTS. Visit: BankOfAmericaDebit05.com Error - 8097 REPLY STOP TO OPT OUT,smish
FRM:AugustSurveys.com sms_id*NHR397 MSG:Since you are a appreciated customer of Costco we have a donation valued at $100 dedicated to you (Con't 2 of 2 for your efforts. Just respond to this two question survey and youll be compensated. [link] (End),smish
Cost co is acknowledging you as top tier shopper. There are 3 devices for you to pick from http://neckadvice.financial/PWvk1Wpa,smish
"Navy Federal CU: You have successfully signed on from IP 52.203.18.141 (Ashburn VA, USA). If this wasn't you, visit nfcualert.site",smish
"Walgreens: You're being randomly given, as 1 of 613 people, 1 reward by filling in a brief survey. Reward ends in 5 hours vnnim.cc/mNGtaOl O",smish
Wells Fargo Bank: Account blocked due to suspicious fraud attempts. Click https://oasioa.cf/wellsfargo.com/?restore to reactivate account.,smish
FRM:KemH_-UPS-10esF SUBJ:www.nibtt9-upse.us//vofxbnno224123# MSG: :3lq9DWaATI-a,smish
Your invo.ice fo.r Septe.mber was p.aid. Than.ks. h.ere's our t.iny pr.esent f.or u: du9k3.com/rvirONcqBD,smish
"Lowe's retail company would like your help on this official questionnaire, Anybody that enters this are to receive a no cost product surveypurpose.com/wv95u",smish
CBD Will Reduce Your Aches Quick http://attorneyent.limited/S7cW3A,smish
"1 of 2 FRM:EXTRA INCOME FOR YOU MSG:Hello, Are you interested in a $20 hourly working from home JOB? Training: 1 week. Payment: (Con't) 2 of 2 Weekly. Experience: Not needed. Location: Anywhere of your choice. Kindly reply with ""YES"" to proceed (End)",smish
"Hi, I'm Maya from US Speaks. We're polling IL. Would you respond to some questions? 1) Yes 2) No (or END SURVEY)",smish
"Ay is this Dillon? this is Aleah... we txted on Coffee Meets Bagel last time I went up to visit my cousin but we didn't meet for drinks.. I'm back in the area right now if ya want 2 actually go out while I'm here, are ya up 2 it?",smish
"Disfruta las mejores series, peliculas y canales adicionales, con Claro video siempre tienes algo nuevo que ver. https://bit.ly/3dRoiZe",smish
(PayPal-Issue : Your account has been restricted.Check it here Immediately.> https://me2.do/GBIOwzEt?V4ZGKR ~) 29FNO,smish
United States Postal Service: Your package has the wrong forwarding address and has been temporarily suspended. Please reply to [ok] and take steps to reactivate it. [ https://wsends.com/go/Tracking/R2H9 ],smish
"Unusual Activity : We've suspended your Amazon due to unusual activity Login attempt from : [84.111.233.111 - Israel] Device:Mozilla/5.0 (Windows NT 10.0) Our System has been locked yo ur Amazon account To restore your Amazon account, please verify your identi ty below : http://www.xprswebsite.com/free/dev2/support?=7455071 You need to verify your account within 2 days or your Amazon account will be terminated. Best Regards, Amazon O",smish
"Unusual Activity : We've locked your Amazon account due to unusual activity. New Login from : Mozilla Firefox 8.7 [ 45.71.144.113 - Russia ] Our system has locked your Amazon account for security reasons. To unlock your Amazon account, please verify your identity below: https://wua.soundestlink.com/link/62ec0819e7239400160765f9/62ec07fec03d7d001dc835c5/62ec07eb316b48001c631e48?signature=9914fff38c28a734939ec6ad3c3f038680fa15f715f60 9593c985923dadb61fe you do not verify your identity If before 24 hours, your Amazon account will be terminated.",smish
"You just sent a payment to Brett Briggs for $6.50 USD. If you do not make this transaction, you must cancel before 4 hours:""https://lnkd.in/ekwVSzPa"" (PP-REF:#XFM6ZT)",smish
Your parcel (#US91177J) which includes the following products: 1.PS5. Cannot be approved for delivery pending the outstanding tax balance has been paid. Current outstanding balance: $1.22. Additional info like2playnow.com/fi5dbp,smish
2069-Ft² House Just Listed 513-Mo below Xeo6.me/8ek26N,smish
"Free Msg: Your bill is paid for March. Thanks, here's a little gift for you: giddybreasts.com/DSRRmEAccl",smish
Y.our bill for l.ast month is r.eceived. Thank you. here is our small l.oyalty re.ward fo.r you: 61uxsyo.qmrWM.Com/zyd8,smish
Chase Alert (SM):We noticed unusual activities on your account.Visit chaselocked.com/web to verify the activities. Reply STOP to stop.Msg & data rates may apply.,smish
Pres Trump: This is the final time I'll reach out. I need you to update your Voter Verification survey RIGHT NOW. Take canvass here >> https://win22.org/r.wr?id=9wJ8pTXh ReplySTOPToEnd,smish
Your payment for September is paid. Thanks. here's our surprise gift for you: Pbpls.COM/E5JyPE6w5t,smish
"BofA Alert: We 've placed a hold on your debit/atm card due to some unusual activity, To recover Visit https://profib04.com and verify your identity",smish
Hi this is Sammy and I just loaded new my best videos in my personal site. find it here: http://slzbyy.com/GvR0t2ZV,smish
intimate notice: Mary live in the area and is seeking no-strings partners. Review your invite:http://hygrjv.com/2oyhOQV,smish
Pc user- KatieT0021 sent you a chat invite. Accept below:http://ywrfyp.com/VkwuzqG,smish
"Hello baby, Karla here. You make any plans for today? If not, email me...http://zglptv.com/no2hrZB",smish
Hey baby did you know! I update my pics gallery from my profile. Look them here: http://yjpgbx.com/mn1lkyE,smish
You got a text from FunKatie88! Tap here to access inbox:http://ytdbby.com/A2RsGxy,smish
You got a local fl!ng request from Linda. Respond here:https://bit.ly/3RQ1z1n,smish
